,name,jersey,class,position,height,weight,hometown,hs,img,stats_page
0,Hunter Ginsberg,45,Fr.,LB,6.1,195.0,"LEVITTOWN, PA",Conwell Egan Catholic,https://muhlenbergsports.com//images/2024/8/25/FBginsberg24_xtMnp.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/hunter-ginsberg/8314
0,Justin Eisele,46,Jr.,LB,6.0,210.0,"JEFFERSON TWP, NJ",Jefferson Twp.,https://muhlenbergsports.com//images/2024/8/25/FBeiseleju24_Y7cet.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/justin-eisele/8129
0,Sean Krug,47,Jr.,LS,6.2,215.0,"LONG HILL, NJ",Watchung Hills Regional,https://muhlenbergsports.com//images/2024/8/25/FBkrug24_xYd9J.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/sean-krug/8148
0,Jason Stien Jr.,47,Fr.,LB,6.1,210.0,"WEBSTER, MASS",Worcester Academy,https://muhlenbergsports.com//images/2024/8/25/FBstien24_1cU0A.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/jason-stien-jr-/8343
0,Joseph Papa,48,Fr.,LB,6.2,220.0,"MEDFORD, NJ",Shawnee,https://muhlenbergsports.com//images/2024/8/25/FBpapaj24_1M7oR.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/joseph-papa/8334
0,Nicholas D'Amico,49,So.,K,6.0,197.0,"TAYLOR, PA",Riverside,https://muhlenbergsports.com//images/2024/8/25/FBdamico24_mxdSm.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/nicholas-d-amico/8120
0,John Roeder,50,So.,LB,6.1,210.0,"BETHLEHEM, PA",Freedom,https://muhlenbergsports.com//images/2024/8/25/FBroeder24_Y433H.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/john-roeder/8172
0,Vincent Rispoli,51,Jr.,DL,6.0,245.0,"EAST HANOVER, NJ",Hanover Park,https://muhlenbergsports.com//images/2024/8/25/FBrispoli24_UQzNk.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/vincent-rispoli/8170
0,Troy Conlon,52,So.,OL,5.9,275.0,"MAMARONECK, NY",Mamaroneck,https://muhlenbergsports.com//images/2024/8/25/FBconlon24_7rT1L.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/troy-conlon/8117
0,CJ Newman,53,So.,LB,6.2,215.0,"BETHESDA, MD",Walter Johnson,https://muhlenbergsports.com//images/2024/8/25/FBnewman24_5RHBP.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/cj-newman/8157
0,Blaze Curry,54,Jr.,DE,6.1,220.0,"COOPERSBURG, PA",Southern Lehigh,https://muhlenbergsports.com//images/2024/8/25/FBcurry24_0Q1go.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/blaze-curry/8119
0,Alex Schafer,55,Jr.,NT,5.11,270.0,"COOPERSBURG, PA",Southern Lehigh,https://muhlenbergsports.com//images/2024/8/25/FBschafer24_GYzHe.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/alex-schafer/8177
0,Jackson Armstrong,56,Sr.,NT,6.1,265.0,"NORTHPORT, NY",Northport,https://muhlenbergsports.com//images/2024/8/25/FBarmstrong24_ygxzz.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/jackson-armstrong/8111
0,Mick O'Malley,57,So.,LB,6.3,225.0,"DURYEA, PA",Scranton Prep,https://muhlenbergsports.com//images/2024/8/25/FBomalley24_OuRs9.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/mick-o-malley/8159
0,Thomas Cerruti,58,Fr.,LB,5.1,205.0,"PHILADELPHIA, PA",St. Joseph's Prep,https://muhlenbergsports.com//images/2024/8/25/FBcerruti24_gssxF.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/thomas-cerruti/8306
0,Tom Smid,59,Jr.,DL,6.0,240.0,"MAPLE GLEN, PA",Upper Dublin,https://muhlenbergsports.com//images/2024/8/25/FBsmid24_Z6Uez.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/tom-smid/8184
0,Joseph Kudla II,60,Fr.,OL,6.4,290.0,"ROSTRAVER TWP, PA",Greensburg Central Catholic,https://muhlenbergsports.com//images/2024/8/25/FBkudla24_IEvRp.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/joseph-kudla-ii/8324
0,Jaxon Jeske,61,So.,OL,6.2,305.0,"STATEN ISLAND, NY",Tottenville,https://muhlenbergsports.com//images/2024/8/25/FBjeske24_WyErw.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/jaxon-jeske/8142
0,David Barr,62,Sr.,OG,6.3,320.0,"NORTH BRUNSWICK, NJ",St. Joseph,https://muhlenbergsports.com//images/2024/8/25/FBbarr24_GukCL.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/david-barr/8112
0,Owen Shaffer,63,So.,OL,6.4,270.0,"TANNERSVILLE, PA",Pocono Mountain East,https://muhlenbergsports.com//images/2024/8/25/FBshaffer24_9ndSL.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/owen-shaffer/8180
0,Jack Kinerney,64,Sr.,OG,6.2,290.0,"FAIRFAX, VA",Chantilly,https://muhlenbergsports.com//images/2024/8/25/FBkinerney24_tf6a2.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/jack-kinerney/8145
0,Robert Terreros,65,Jr.,C,6.1,240.0,"HARRISON, NJ",DePaul Catholic,https://muhlenbergsports.com//images/2024/8/25/FBterreros24_oC76z.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/robert-terreros/8186
0,Samuel Filip,66,So.,NT,6.1,385.0,"LORDS VALLEY, PA",Wallenpaupack,https://muhlenbergsports.com//images/2024/8/25/FBfilip24_4rjvm.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/samuel-filip/8134
0,Dylan Blanco,67,Sr.,OL,6.3,255.0,"SHOREHAM, NY",Shoreham-Wading River,https://muhlenbergsports.com//images/2024/8/25/FBblanco24_nSh53.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/dylan-blanco/8114
0,Triquil Monroe,68,Fr.,OL,6.0,255.0,"NEWARK, NJ",DePaul Catholic,https://muhlenbergsports.com//images/2024/8/25/FBmonroe24_R5mCn.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/triquil-monroe/8331
0,CJ Mersky,69,Fr.,OL,5.1,250.0,"SELLERSVILLE, PA",Germantown Academy,https://muhlenbergsports.com//images/2024/8/25/FBmersky24_nTLWU.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/cj-mersky/8329
0,Matthew Rockensies,70,Sr.,OT,6.4,273.0,"MERRICK, NY",Chaminade,https://muhlenbergsports.com//images/2024/8/25/FBrockensies24_z6yaE.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/matthew-rockensies/8171
0,Alex Harby,71,Jr.,OL,6.2,280.0,"WANTAGE, NJ",Pope John XXIII,https://muhlenbergsports.com//images/2024/8/25/FBharby24_QWr5a.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/alex-harby/8140
0,Kyle Scott,71,Fr.,OL,5.1,279.0,"BROOKLYN, NY",South Shore,No picture taken,https://muhlenbergsports.com/sports/football/roster/kyle-scott/8389
0,Conor Vatcher,72,Sr.,OT,6.2,255.0,"RAMSEY, NJ",Ramsey,https://muhlenbergsports.com//images/2024/8/25/FBvatcher24_YtQrT.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/conor-vatcher/8187
0,Spencer Peck,73,Sr.,OT,6.4,265.0,"BLOOMSBURY, NJ",North Hunterdon,https://muhlenbergsports.com//images/2024/8/25/FBpeck24_pa5rr.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/spencer-peck/8162
0,Robbie Kohn,74,So.,OL,6.0,220.0,"WESTON, CONN",Weston,https://muhlenbergsports.com//images/2024/8/25/FBkohn24_aoAhD.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/robbie-kohn/8146
0,Luke Snisky,74,Fr.,DL,6.0,280.0,"RYE BROOK, NY",Iona Prep,https://muhlenbergsports.com//images/2024/8/25/FBsnisky24_SqPsM.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/luke-snisky/8341
0,Ryan Wreath,75,Sr.,C,6.4,275.0,"PHILADELPHIA, PA",William Penn Charter,https://muhlenbergsports.com//images/2024/8/25/FBwreath24_ziy7p.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/ryan-wreath/8192
0,David Jansons,76,Fr.,OL,5.1,270.0,"OAKTON, VA",Oakton,https://muhlenbergsports.com//images/2024/8/25/FBjansons24_0qAYf.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/david-jansons/8321
0,Mike Powel,77,Jr.,OT,6.2,280.0,"HAVERTOWN, PA",Haverford,https://muhlenbergsports.com//images/2024/8/25/FBpowel24_34bwr.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/mike-powel/8166
0,PJ Bonistalli,78,Jr.,OG,6.2,260.0,"OAKLAND, NJ",Bergen Catholic,https://muhlenbergsports.com//images/2024/8/25/FBbonistalli24_bEIws.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/pj-bonistalli/8115
0,Christopher Rausch Jr.,79,Fr.,OL,6.1,270.0,"MORRISVILLE, PA",Pennsbury,https://muhlenbergsports.com//images/2024/8/25/FBrausch24_u4OYd.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/christopher-rausch-jr-/8336
0,Kyle McGrath,80,Jr.,WR,6.0,175.0,"KINTNERSVILLE, PA",Palisades,https://muhlenbergsports.com//images/2024/8/25/FBmcgrath24_ZlgLo.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/kyle-mcgrath/8153
0,Matt McKenna,81,Sr.,TE,6.5,235.0,"DREXEL HILL, PA",Haverford School,https://muhlenbergsports.com//images/2024/8/25/FBmckenna24_13Lug.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/matt-mckenna/8154
0,James Wyers,81,Fr.,WR,5.1,170.0,"UPPER TWP, NJ",Wildwood,https://muhlenbergsports.com//images/2024/8/25/FBwyers24_bKekG.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/james-wyers/8346
0,Aidan Mack,82,Jr.,TE,6.3,205.0,"WHIPPANY, NJ",Seton Hall Prep,https://muhlenbergsports.com//images/2024/8/25/FBmack24_jqrmD.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/aidan-mack/8327
0,Caden Reph,83,Jr.,TE,6.1,250.0,"NORTHAMPTON, PA",Northampton,https://muhlenbergsports.com//images/2024/8/25/FBreph24_xWGhT.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/caden-reph/8169
0,Cody Whalen,84,So.,WR,5.1,170.0,"JERICHO, NY",Jericho,https://muhlenbergsports.com//images/2024/8/25/FBwhalen24_8gOEP.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/cody-whalen/8189
0,Chris Holland,85,Fr.,TE,6.4,225.0,"ROSWELL, GA",Roswell,https://muhlenbergsports.com//images/2024/8/25/FBholland24_933jW.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/chris-holland/8318
0,Michael Bemis,86,Fr.,WR,6.3,185.0,"AMBLER, PA",Wissahickon,https://muhlenbergsports.com//images/2024/8/25/FBbemis24_Tfk1l.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/michael-bemis/8302
0,Shane Corkill,86,Fr.,WR,6.0,185.0,"EDGEWATER, MD",South River,https://muhlenbergsports.com//images/2024/8/25/FBcorkill24_tflu2.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/shane-corkill/8308
0,Jordan Kiley,87,Sr.,TE,6.2,240.0,"PHILLIPSBURG, NJ",Phillipsburg,https://muhlenbergsports.com//images/2024/8/25/FBkiley24_MlG5l.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/jordan-kiley/8144
0,Logan Nordeck,88,Fr.,WR,5.1,185.0,"ARBUTUS, MD",Archbishop Curley,https://muhlenbergsports.com//images/2024/8/25/FBnordeck24_dFkHc.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/logan-nordeck/8333
0,Christopher Short,88,So.,WR,5.11,161.0,"CLOSTER, NJ",Northern Valley Demarest,https://muhlenbergsports.com//images/2024/8/25/FBshort24_dZESX.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/christopher-short/8181
0,Zaki Williams,89,Jr.,TE,6.0,250.0,"ORANGE, NJ",St. Mark's School (Mass.),https://muhlenbergsports.com//images/2024/8/25/FBwilliamsz24_0BZwa.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/zaki-williams/8191
0,Tom Papa,90,Gr.,DL,6.3,260.0,"MEDFORD, NJ",Shawnee,https://muhlenbergsports.com//images/2024/8/25/FBpapat24_uCCl3.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/tom-papa/8335
0,Derek Rosenow,91,Sr.,DE,6.3,250.0,"STATEN ISLAND, NY",St. Peter's,https://muhlenbergsports.com//images/2024/8/25/FBrosenow24_dnQGS.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/derek-rosenow/8173
0,Connor Fenstermaker,92,Sr.,K,6.3,190.0,"WHITEHALL, PA",Whitehall,https://muhlenbergsports.com//images/2024/8/25/FBfenstermaker24_hE5ws.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/connor-fenstermaker/8133
0,Shane Moreau,92,Fr.,LB,5.9,220.0,"BRONX, NY",Central Park East,https://muhlenbergsports.com//images/2024/8/25/FBmoreau24_0rSmL.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/shane-moreau/8332
0,Myles Byrd Rice,93,Fr.,DL,6.0,270.0,"MATAWAN, NJ",St. John Vianney,https://muhlenbergsports.com//images/2024/8/25/FBbyrdrice24_aSAVD.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/myles-byrd-rice/8304
0,Colin Kearney,93,So.,DL,6.3,230.0,"PHILADELPHIA, PA",Germantown Academy,https://muhlenbergsports.com//images/2024/8/25/FBkearney24_RP9Ij.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/colin-kearney/8143
0,Stoney Fuller,94,Fr.,DL,5.1,230.0,"EAST STROUDSBURG, PA",Stroudsburg,https://muhlenbergsports.com//images/2024/8/25/FBfullerbey24_yz2oh.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/stoney-fuller-bey/8312
0,Joel Herrera,95,Fr.,DL,6.2,260.0,"STONY POINT, NY",North Rockland,https://muhlenbergsports.com//images/2024/8/25/FBherrera24_Ka4jz.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/joel-herrera/8317
0,Nick Servidio,97,Fr.,DL,6.3,220.0,"FLUSHING, NY",Holy Cross,https://muhlenbergsports.com//images/2024/8/25/FBservidio24_0opvK.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/nick-servidio/8339
0,Andrew Franklin,98,Sr.,DE,6.4,252.0,"ANNANDALE, NJ",North Hunterdon,https://muhlenbergsports.com//images/2024/8/25/FBfranklin24_qIZ37.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/andrew-franklin/8135
0,Andrew Deutsch,99,Fr.,K,5.7,160.0,"WHITEHALL, PA",Whitehall,https://muhlenbergsports.com//images/2024/8/25/FBdeutsch24_G1u00.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/andrew-deutsch/8310
0,Matt Papa,99,Sr.,DE,6.3,240.0,"MEDFORD, NJ",Shawnee,https://muhlenbergsports.com//images/2024/8/25/FBpapam24_4gjzW.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/matt-papa/8161
0,Sebastian Chaney,-1,Fr.,RB,5.7,190.0,"BALTIMORE, MD",Gilman School,https://muhlenbergsports.com//images/2024/8/25/FBchaney24_fxQ75.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/sebastian-chaney/8307
